NAMESPACE,PRODUCT,IGNORED,IGNORED_REASON,COLLECTIONS
paec_bfc_2025,,true,Waiting for MCP use case definition,Territoires_paec_bfc_2025
pat_r84_nov2025_gpkg_2026-02-10_wfs,,true,Test data,sql_statement
patrinat_apb,PATRINAT,true,Waiting for MCP use case definition,apb
patrinat_apg,PATRINAT,true,Waiting for MCP use case definition,apg
patrinat_aphn,PATRINAT,true,Waiting for MCP use case definition,aire_protection_habitats_naturels
patrinat_aplg,PATRINAT,true,Waiting for MCP use case definition,apg
patrinat_bios,PATRINAT,true,Waiting for MCP use case definition,bios
patrinat_bpm,PATRINAT,true,Waiting for MCP use case definition,Bien_patrimoine_mondial_UNESCO
patrinat_cdl,PATRINAT,true,Waiting for MCP use case definition,conservatoire_littoral
patrinat_cen,PATRINAT,true,Waiting for MCP use case definition,cen
patrinat_geoparc,PATRINAT,true,Waiting for MCP use case definition,geoparc
patrinat_gsf,PATRINAT,true,Waiting for MCP use case definition,gsf
patrinat_inpg,PATRINAT,true,Waiting for MCP use case definition,inpg
patrinat_ospar,PATRINAT,true,Waiting for MCP use case definition,pgsf
patrinat_pgsf,PATRINAT,true,Waiting for MCP use case definition,pgsf
patrinat_pn,PATRINAT,true,Waiting for MCP use case definition,parc_national
patrinat_pn2,PATRINAT,true,Waiting for MCP use case definition,pn
patrinat_pnm,PATRINAT,true,Waiting for MCP use case definition,pnm
patrinat_pnr,PATRINAT,true,Waiting for MCP use case definition,pnr
patrinat_pprnn,PATRINAT,true,Waiting for MCP use case definition,pprnn
patrinat_ramsar,PATRINAT,true,Waiting for MCP use case definition,pnm
patrinat_rb,PATRINAT,true,Waiting for MCP use case definition,reserve_biologique
patrinat_ripn,PATRINAT,true,Waiting for MCP use case definition,ripn
patrinat_rnc,PATRINAT,true,Waiting for MCP use case definition,pnm
patrinat_rncfs,PATRINAT,true,Waiting for MCP use case definition,rncfs
patrinat_rnn,PATRINAT,true,Waiting for MCP use case definition,rnn
patrinat_rnr,PATRINAT,true,Waiting for MCP use case definition,rnr
patrinat_sc,PATRINAT,true,Waiting for MCP use case definition,sc
patrinat_sic,PATRINAT,true,Waiting for MCP use case definition,sic
patrinat_znieff1,PATRINAT,true,Waiting for MCP use case definition,znieff1
patrinat_znieff1_mer,PATRINAT,true,Waiting for MCP use case definition,znieff1_mer
patrinat_znieff2,PATRINAT,true,Waiting for MCP use case definition,znieff2
patrinat_znieff2_mer,PATRINAT,true,Waiting for MCP use case definition,znieff2_mer
patrinat_zpr,PATRINAT,true,Waiting for MCP use case definition,zpr
patrinat_zps,PATRINAT,true,Waiting for MCP use case definition,zps
pays_ecoregions,pays_ecoregions,true,Duplicate dataset (ecoregions),"pays|regions_ecologiques"
pnrvn_gpkg_27-06-2025_wfs,,true,Test data,pnrvn
potentiel_agronomique_CCC,,true,Waiting for MCP use case definition,potentiel agronomique
projet_iqp_2025_gpkg_12-03-2026_wfs,,true,Test data,"tampon_iqp_d_2025|tampon_iqp_g_2025|tampon_iqp_i_2025|ref_interplo_2025|ref_bornage_2025"
projets_zones_acceleration_energies_renouvelables_zaer_wfs,,true,Test data,fus_epci_ddt_portail_publication
pva,,true,Image index dataset,"dataset|image"
ramsar-wfs,,true,Test data,ramsar
route500logoqgis,,true,Test data,route500logoqgis
rpg_metrolyon_epsg2154_gpkg_02-04-2026_wfs,,true,No matching rule,parcelles_graphiques
sentiers_pag_gpkg_30-01-2026_wfs,,true,Test data,sentiers_PAG
site_guadeloupe_martinique_gpkg_26-01-2026_wfs,,true,Test data,site_guadeloupe_martinique
sites_guyane_gpkg_26-01-2026_wfs,,true,Test data,STE_Guyane
sites_metropole_gpkg_26-01-2026_wfs,,true,Test data,STE_Metropole
sites_reunion_gpkg_26-01-2026_wfs,,true,Test data,STE_Reunion
test_CD_La_Ciotat,,true,Test data,"batiment|cd_test_commune|point_du_reseau|troncon_de_route"
test_fz_la_ciotat,,true,Test data,"fz_test_batiment|fz_test_commune|fz_test_point_du_reseau|fz_test_troncon_de_route"
test_lc_bdtopo_laCiotat,,true,Test data,"batiment|lc_test_commune|point_du_reseau|troncon_de_route"
test_mig_rlt,,true,Test data,"dataset|image"
test_nl_atelier_maj,,true,Test data,table_a_modif
test_nl_bdtopo_la_ciotat,,true,Test data,"nl_test_batiment|nl_test_commune|nl_test_point_du_reseau|nl_test_troncon_de_route"
test_nl_bdtopo_laciotat_drv,,true,Test data,troncon_de_route
test_nl_ifn_stats_2024,,true,Test data,stats_2024
test_thomas_2,,true,Test data,"troncon_de_route|non communication"
trichls_s_d51_gpkg_07-10-2024_wfs,,true,Test data,trichls_s_d51
trichlscomm_s_d51_gpkg_07-10-2024_wfs,,true,Test data,trichlscomm_s_d51
trichlsetamt_s_d51_gpkg_07-10-2024_wfs,,true,Test data,trichlsetamt_s_d51
unesco_pelee_wfs,,true,Test data,unesco_bien
vflorent__vecteur_wfs_bdd,,true,Test data,inondforchls_s_d51
voeux2026,,true,Test data,voeux
voeux_wfs,,true,Test data,voeux
wfs_du,GPU,true,Waiting for schema integration from IGNF/validator-config-cnig,"municipality|doc_urba|doc_urba_com|document|habillage_txt|habillage_lin|habillage_pct|habillage_surf|info_lin|info_pct|info_surf|mec|prescription_lin|prescription_pct|prescription_surf|secteur_cc|zone_urba"
wfs_scot,GPU,true,Waiting for schema integration from IGNF/validator-config-cnig,"doc_urba|doc_urba_com|perimetre_scot|scot"
wfs_sup,GPU,true,Waiting for schema integration from IGNF/validator-config-cnig,"acte_sup|assiette_sup_l|assiette_sup_p|assiette_sup_s|generateur_sup_l|generateur_sup_p|generateur_sup_s|gestionnaire_sup|servitude_acte_sup|servitude"
zaer,unknown,true,Fail to assign to an existing product,zaer
zdh_87_gpkg_15-01-2025_wfs,,true,Test data,zh_87
zonealertesecheresse972_gpkg_27-09-2024_wfs,,true,Test data,972_Alerte_Secheresse
zppa_cvl_executoire_2025_gpkg_06-03-2026_wfs,,true,Test data,zppa_cvl_executoire_2025
zzz_test_CD_atelier_maj_donnees_vecteur,,true,Test data,table_a_modif
zzz_test_FM_atelier_maj_donnees_vecteur,,true,Test data,table_a_modif
zzz_test_FZ_atelier_maj_donnees_vecteur,,true,Test data,table_a_modif
zzz_test_LC_atelier_maj_donnees_vecteur,,true,Test data,table_a_modif
zzz_test_NL_atelier_maj_donnees_vecteur,,true,Test data,table_a_modif
zzz_test_RM_atelier_maj_donnees_vecteur,,true,Test data,table_a_modif
