NAMESPACE,PRODUCT,IGNORED,IGNORED_REASON,COLLECTIONS
BDCARTO_ETAT-MAJOR.NIVEAU4,BDCARTO_ETAT-MAJOR,true,Waiting for MCP use case definition,"a_1_limite_administrative|a_2_surface_administrative|b_1_troncon_de_route|b_2_troncon_de_voie_ferree|b_3_troncon_de_cours_d_eau|c_1_1_ocs_ancien|c_1_2_ocs_ancien_sans_bati|c_2_1_batiment|c_2_2_batiment_hors_zone_urbaine|c_3_zone_urbaine|z_1_chantier"
BDCARTO_V5,BDCARTO_V5,false,,"arrondissement|arrondissement_municipal|aerodrome|bassin_versant_topographique|cimetiere|collectivite_territoriale|commune|commune_associee_ou_deleguee|construction_lineaire|construction_ponctuelle|construction_surfacique|cours_d_eau|departement|detail_hydrographique|detail_orographique|epci|lieu_dit_non_habite|ligne_electrique|limite_terre_mer|noeud_hydrographique|occupation_du_sol|parc_ou_reserve|piste_d_aerodrome|plan_d_eau|rond_point|route_numerotee_ou_nommee|region|reservoir|surface_hydrographique|transport_par_cable|troncon_hydrographique|voie_ferree_nommee|zone_d_activite_ou_d_interet|zone_d_habitation|troncon_de_route|equipement_de_transport"
BDFORETV1_BDD_FXX_LAMB93_20140403,unknown,true,Fail to assign to an existing product,resu_bdv1_shape
BDPARCELLAIRE-VECTEUR_WLD_BDD_WGS84G,BDPARCELLAIRE,true,"Deprecated dataset, using CADASTRALPARCELS.PARCELLAIRE_EXPRESS instead","arrondissement|batiment|commune|divcad|localisant|parcelle"
BDTOPO.EXTENSION.NOM_USUEL,,true,Non-spatial dataset,extension_nom_usuel
BDTOPO_V3,BDTOPO_V3,false,,"arrondissement|arrondissement_municipal|itineraire_autre|aerodrome|bassin_versant_topographique|batiment|canalisation|cimetiere|collectivite_territoriale|commune|commune_associee_ou_deleguee|condominium|construction_lineaire|construction_ponctuelle|construction_surfacique|cours_d_eau|departement|detail_hydrographique|detail_orographique|epci|erp|foret_publique|haie|lieu_dit_non_habite|ligne_orographique|ligne_electrique|limite_terre_mer|non_communication|noeud_hydrographique|parc_ou_reserve|piste_d_aerodrome|plan_d_eau|point_d_acces|point_de_repere|point_du_reseau|poste_de_transformation|pylone|route_numerotee_ou_nommee|region|reservoir|section_de_points_de_repere|surface_hydrographique|terrain_de_sport|toponymie|transport_par_cable|troncon_de_route|troncon_de_voie_ferree|troncon_hydrographique|voie_ferree_nommee|voie_nommee|zone_d_activite_ou_d_interet|zone_d_estran|zone_d_habitation|zone_de_vegetation|equipement_de_transport"
BDTOPO_V3_DIFF,BDTOPO_V3_DIFF,true,Historical data,"adresse_ban|arrondissement|itineraire_autre|aerodrome|batiment|batiment_rnb_lien_bdtopo|canalisation|canton|cimetiere|collectivite_territoriale|commune|commune_associee_ou_deleguee|construction_lineaire|construction_ponctuelle|construction_surfacique|cours_d_eau|departement|detail_hydrographique|detail_orographique|epci|erp|lieu_dit_non_habite|ligne_orographique|ligne_electrique|limite_terre_mer|non_communication|noeud_hydrographique|piste_d_aerodrome|plan_d_eau|point_de_repere|point_du_reseau|poste_de_transformation|pylone|route_numerotee_ou_nommee|region|reservoir|section_de_points_de_repere|surface_hydrographique|terrain_de_sport|transport_par_cable|troncon_de_route|troncon_de_voie_ferree|troncon_hydrographique|voie_ferree_nommee|voie_nommee|zone_d_activite_ou_d_interet|zone_d_estran|zone_d_habitation|zone_de_vegetation|equipement_de_transport"
Bacquelot__vecteur_wfs_bdd,,true,Test data,canton
CADASTRALPARCELS.GRAPHE,CADASTRE,true,"Ignore other CADASTRALPARCELS datasets, using only PARCELLAIRE_EXPRESS for the MCP",graphe
CADASTRALPARCELS.HEATMAP,CADASTRE,true,"Ignore other CADASTRALPARCELS datasets, using only PARCELLAIRE_EXPRESS for the MCP",parcelle_wld
CADASTRALPARCELS.PARCELLAIRE_EXPRESS,CADASTRE,false,,"arrondissement|borne_limite_propriete|batiment|commune|feuille|borne_parcelle|localisant|parcelle|subdivision_fiscale"
CADASTRALPARCELS.QUALREFBDP,CADASTRE,true,"Ignore other CADASTRALPARCELS datasets, using only PARCELLAIRE_EXPRESS for the MCP",divcadmtd
CGET_QP_BDD_WLD_WM_20160412,,true,Outdated dataset,qp_decretmodif_2015_epsg3857_wm
COMMUNES.EPCISANSFISCALITEPROPRE,unknown,true,Fail to assign to an existing product,intercomm_groupement
CONSERVATOIRE_LITTORAL.PARCELLES,,true,Waiting for MCP use case definition,parcelles_protegees
CONSERVATOIRE_LITTORAL.PERIMETRES,,true,Waiting for MCP use case definition,perimetre_intervention
Carhab_habitat,CARHAB,true,Waiting for MCP use case definition,habitats_carhab
Carhab_habitat_Reunion,CARHAB,true,Waiting for MCP use case definition,habitats_carhab
DEBROUSSAILLEMENT,unknown,true,Fail to assign to an existing product,debroussaillement
DGAC-PGS-POI_BDD_FXX_WM,unknown,true,Fail to assign to an existing product,aerodrome_avec_pgs_wm
DGAC-PGS_BDD_FXX_WM,unknown,true,Fail to assign to an existing product,fxx_pgs_wm
DGCL.2025,,true,Waiting for MCP use case definition,"voirie_communale|voirie_departementale"
DREAL.ZONAGE_PINEL,unknown,true,Fail to assign to an existing product,"carreaux|communes|iris"
ELEVATION.CONTOUR.LINE,Elevation,true,In use via almimetry service,courbe
ELEVATIONGRIDCOVERAGE.HIGHRES.QUALITY,Elevation,true,In use via almimetry service,source_fra
FAYL_PCRS_vecteur_wfs_public,,true,Test data,"arbre|avaloir|bordure|bouche_poteau_incendie|branchement_vanne_bouche_a_clef|escalier|bati_facade|mur|poteau_poteau_eclairage|signalisation_verticale|tampon_plaque_chambre|bati_toit"
GARES_BDD_FXX_WM_20171227,POI_ZAI,true,Waiting for MCP use case definition,gares
GEODESIE,,true,Waiting for MCP use case definition,data_geod
GEOGRAPHICALGRIDSYSTEM.DFCI,,true,Image index dataset,"carro_dfci_1x1_l93|carro_dfci_2x2_l93"
GEOGRAPHICALGRIDSYSTEMS.MAPS.SCAN25.GRAPHE-MOSAIQUAGE,,true,Image index dataset,graphe_scan25
GEOGRAPHICALGRIDSYSTEMS.MAPS.SCAN50.1950.GRAPHE,,true,Image index dataset,ta_france_cartes_50k_1950_date_wm
GRAPHE.PCRS.ANCT,,true,Image index dataset,graphe_pcrs_anct
HAIES.BOCAGES,unknown,true,Fail to assign to an existing product,haie
HYDROGRAPHY.BCAE.LATEST,unknown,true,Fail to assign to an existing product,bcae_cours_eau
IGNF_ACCESSIBILITE-PHYSIQUE-FORETS-,unknown,true,Fail to assign to an existing product,"acces_porteur|acces_skidder"
IGNF_ACCESSIBILITE-PHYSIQUE-FORETS-MASQUE-FORETV3,unknown,true,Fail to assign to an existing product,"acces_porteur|acces_skidder"
IGNF_BD-FRANCE-TOPO-VEGETATION,unknown,true,Fail to assign to an existing product,BD-FRANCE-TOPO-VEGETATION
IGNF_CARTO-FORMATIONS-VEGETALES_2016,unknown,true,Fail to assign to an existing product,formations_vegetales_d976_2016
IGNF_CARTO-FORMATIONS-VEGETALES_2017,unknown,true,Fail to assign to an existing product,formations_vegetales_d972_2017
IGNF_CARTO-FORMATIONS-VEGETALES_2023,unknown,true,Fail to assign to an existing product,formations_vegetales_d976_2023
IGNF_GEODESIE,,true,Waiting for MCP use case definition,"site-rbf|site-rdf|triplet|point-rdf|point-rbf|rn|rgp"
IGNF_LIDAR-HD_METADONNEE,,true,No matching rule,metadata
IGNF_MASQUE-FORET.2021-2023,unknown,true,Fail to assign to an existing product,masque_foret
IGNF_MNH-LIDAR-HD,,true,Image index dataset,"bloc|dalle"
IGNF_MNS-LIDAR-HD,,true,Image index dataset,"bloc|dalle"
IGNF_MNT-LIDAR-HD,,true,Image index dataset,"bloc|dalle"
IGNF_NUAGES-DE-POINTS-LIDAR-HD,,true,Image index dataset,"bloc|dalle"
IGNF_RPG_PARCELLES-AGRICOLES-CATEGORISEES_2024,unknown,true,Fail to assign to an existing product,parcelles_agricole_categorisees_2024
IGNF_RPG_PARCELLES-ELIGIBLES-IAE,unknown,true,Fail to assign to an existing product,parcelles_eligibles_iae_2024
IGNF_RPG_PRAIRIES-PERMANENTES_2024,unknown,true,Fail to assign to an existing product,prairies_permanentes_2024
IGNF_RPG_ZONES-DENSITE-HOMOGENE_2024,unknown,true,Fail to assign to an existing product,surfaces_2024_zdh_20250621
INPE,unknown,true,Fail to assign to an existing product,inpe
INRA.CARTE.SOLS,unknown,true,Fail to assign to an existing product,geoportail_vf
INSEE.FILOSOFI.INDICATORS,FILOSOFI,false,,"carreaux_1km|carreaux_200m"
LABELS.TOURISTIQUES,POI_ZAI,true,Waiting for MCP use case definition,"communes_touristiques|stations_classees|stations_vertes|villages_etape"
LANDCOVER.CHA00_FR,LANDCOVER,true,Waiting for MCP use case definition,cha00_fr
LANDCOVER.CHA06_DOM,LANDCOVER,true,Waiting for MCP use case definition,cha06_dom
LANDCOVER.CHA06_FR,LANDCOVER,true,Waiting for MCP use case definition,cha06_fr
